DATE,MAX_TEMP,MIN_TEMP,RAINFALL_24_HRS
1/1/2020,18.5,9.7,0
1/2/2020,20.3,12,0
1/3/2020,20.7,14,0
1/4/2020,20.5,11,0
1/5/2020,17,7.2,0
1/6/2020,21.8,9.3,0
1/7/2020,24.3,12.4,0
1/8/2020,26.5,15.4,0
1/9/2020,25.5,9.4,0
1/10/2020,18.7,5.5,0
1/11/2020,18.7,4.6,0
1/12/2020,22.9,8,0
1/13/2020,26.1,10.4,0
1/14/2020,28.4,14.6,0
1/15/2020,22.4,14.9,6.3
1/16/2020,24.3,14.8,0
1/17/2020,19.9,10.2,0
1/18/2020,20.4,8.4,0
1/19/2020,18.1,8.8,0
1/20/2020,18.8,6.4,0
1/21/2020,22.8,11.4,0
1/22/2020,27.8,13.9,0.2
1/23/2020,22.1,10.8,0.01
1/24/2020,20.9,7.1,0
1/25/2020,24.8,9.2,0
1/26/2020,24.5,10,0
1/27/2020,26.1,13.2,0
1/28/2020,27.3,13.6,0
1/29/2020,26.2,14,0
1/30/2020,23.6,11.2,0
1/31/2020,20.7,7.6,0
2/1/2020,22.3,9.8,0
2/2/2020,22.5,8.4,0
2/3/2020,23.3,10.5,0
2/4/2020,24.4,11.9,0
2/5/2020,17,7.2,0
2/6/2020,24.3,11.8,0
2/7/2020,25.4,12.1,0
2/8/2020,23.3,10.2,0
2/9/2020,22.3,8.1,0
2/10/2020,23.1,9.9,0
2/11/2020,26.6,11.4,0
2/12/2020,27.7,12.6,0
2/13/2020,27.8,13,0
2/14/2020,28.7,13.3,0
2/15/2020,28.3,12.4,0
2/16/2020,28.5,9.9,0
2/17/2020,28.5,10.8,0
2/18/2020,29.4,11.6,0
2/19/2020,30,8.5,0
2/20/2020,32.1,17.6,0
2/21/2020,32.3,17.8,0
2/22/2020,30.9,15,0
2/23/2020,28.7,14,0
2/24/2020,27.6,13.6,0
2/25/2020,26.5,11.6,0
2/26/2020,26.3,13,0
2/27/2020,28.8,11.6,0
2/28/2020,30.5,16.4,0
2/29/2020,32.9,19,0
3/1/2020,30.6,17.2,0
3/2/2020,31.2,18.4,3.8
3/3/2020,32.2,14.3,0
3/4/2020,31.5,15.4,0
3/5/2020,31.3,14.2,0
3/6/2020,30.6,16,0
3/7/2020,29.9,13.8,0
3/8/2020,28.9,13.4,0
3/9/2020,27.4,15.2,0
3/10/2020,28.2,18.6,0.6
3/11/2020,30.2,17.2,0
3/12/2020,31,14.7,0
3/13/2020,30.8,14.4,0.4
3/14/2020,27.6,11.4,0
3/15/2020,28.9,13,0
3/16/2020,26.8,12.9,0
3/17/2020,30.1,14.8,0
3/18/2020,31.7,19,0
3/19/2020,33,18.6,0
3/20/2020,33.5,19.7,0
3/21/2020,32,15.6,0
3/22/2020,32.8,16.2,0
3/23/2020,34.8,18.9,0
3/24/2020,36.1,20.4,0
3/25/2020,35.8,23.2,0
3/26/2020,35.6,19.4,6.6
3/27/2020,32.5,18.4,4.4
3/28/2020,22.4,17.3,11.8
3/29/2020,30.4,19.1,0
3/30/2020,33.1,17.4,0
3/31/2020,36.4,22,0
4/1/2020,37.1,19.6,0
4/2/2020,36.3,19,0
4/3/2020,35,20,0
4/4/2020,34.7,20.2,0
4/5/2020,35.4,20.2,0
4/6/2020,36.8,20.2,0
4/7/2020,38,21.2,0
4/8/2020,38.3,21.2,0
4/9/2020,37.9,19.8,0
4/10/2020,37.2,22.1,0
4/11/2020,37.4,24.2,0
4/12/2020,39,21.8,0
4/13/2020,39.2,22.5,0
4/14/2020,39.7,23.4,0
4/15/2020,40.5,24.6,0
4/16/2020,39.8,23,0
4/17/2020,40.2,26.2,0
4/18/2020,40.1,26.4,0.01
4/19/2020,37.3,25.6,0.1
4/20/2020,37.4,22.6,0
4/21/2020,38.3,20.9,0
4/22/2020,35.7,21.8,0
4/23/2020,38,24.6,0
4/24/2020,40.1,23.6,0
