DATE,MAX_TEMP,MIN_TEMP,RAINFALL_24_HRS
1/1/1969,23.3,8.4,0
1/2/1969,24.9,11.9,0
1/3/1969,24.1,12.4,0
1/4/1969,23.4,9.9,0
1/5/1969,23.6,10,0
1/6/1969,22.2,8.4,0
1/7/1969,22.4,7.4,0
1/8/1969,21.4,9,0
1/9/1969,23.7,10.4,0
1/10/1969,24,10.5,0
1/11/1969,23.9,9.3,0
1/12/1969,22.4,7.9,0
1/13/1969,24.4,10.4,0
1/14/1969,26.4,12.4,14.5
1/15/1969,18.4,5.4,0
1/16/1969,18,4.9,0
1/17/1969,19.6,5.3,0
1/18/1969,20.9,7.1,0
1/19/1969,21.9,8.9,0
1/20/1969,23.9,10.7,0
1/21/1969,23.4,7.9,0
1/22/1969,20.8,6.4,0
1/23/1969,20.9,5.9,0
1/24/1969,22.3,6.4,0
1/25/1969,22.4,9.4,0
1/26/1969,23.9,11.5,0
1/27/1969,26.4,11.4,0
1/28/1969,27.6,12.9,0
1/29/1969,27.2,12.8,0
1/30/1969,23,7.9,0
1/31/1969,23.3,9.9,0
2/1/1969,24.8,11,0
2/2/1969,27.4,14.3,0
2/3/1969,28.4,12.4,0
2/4/1969,28,15.5,0
2/5/1969,26,14.4,8.5
2/6/1969,22.6,11.5,0
2/7/1969,22.6,11.9,0
2/8/1969,26.9,12.4,0
2/9/1969,25.8,11.4,0
2/10/1969,25.2,7.9,0
2/11/1969,25,10.4,0
2/12/1969,26.2,9,0
2/13/1969,27.4,12.4,0
2/14/1969,28.6,16,0
2/15/1969,26.4,13.9,3.3
2/16/1969,28.3,15,0
2/17/1969,29.4,16.4,0
2/18/1969,31,17.4,0
2/19/1969,30.5,13.8,0
2/20/1969,25.8,15.7,0
2/21/1969,22.2,10.2,0
2/22/1969,26.9,10.2,0
2/23/1969,26.8,9.9,0
2/24/1969,28,13.6,0
2/25/1969,31,15.7,0
2/26/1969,31.9,14.9,0
2/27/1969,31.1,15.9,1.1
2/28/1969,31.4,17.9,7.8
3/1/1969,31.4,16,6.7
3/2/1969,33.4,16.9,0.8
3/3/1969,30.1,16.4,0
3/4/1969,31.6,16.7,0
3/5/1969,32,16.4,0
3/6/1969,31.2,17.1,0
3/7/1969,32.2,17.4,0
3/8/1969,33.3,17.6,0
3/9/1969,32.9,20.9,0
3/10/1969,32.6,18.9,0
3/11/1969,32.9,16.9,0
3/12/1969,32.9,17.4,0
3/13/1969,32.9,17.3,0
3/14/1969,34.4,18.4,0
3/15/1969,34.9,19.4,0
3/16/1969,35.6,19.2,0
3/17/1969,33.2,21.8,0
3/18/1969,35.4,19,0
3/19/1969,34.1,18.4,0.7
3/20/1969,34.6,20.2,0
3/21/1969,32.3,19.6,0
3/22/1969,32.4,17.1,0
3/23/1969,33.6,17.9,0
3/24/1969,34.2,19.9,0
3/25/1969,35.6,19.6,0
3/26/1969,35.3,20.2,0
3/27/1969,36.4,21.6,0
3/28/1969,36.5,21,0
3/29/1969,35.2,23.4,0
3/30/1969,35.4,17.5,0
3/31/1969,34.2,18.8,0
4/1/1969,34.4,18.8,0
4/2/1969,35.1,18.9,0
4/3/1969,35,19.8,0
4/4/1969,36.8,23.5,0
4/5/1969,37.4,24.2,0
4/6/1969,38.4,24.9,0
4/7/1969,37.9,22.9,0
4/8/1969,37.1,20.4,0.2
4/9/1969,32,15.9,17.4
4/10/1969,30.7,18.8,0
